Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Trimmed Time
6.281134615,7.296220186828521e-06,1.0090758296571207e-05,6.701565135916767e-06,1.8817830114551568e-06,1.6154193980800052e-05,3.392396974999944e-06,0.00025961500000004634
6.281653846,7.2974808374520385e-06,1.0112068029836316e-05,6.718779400622141e-06,1.8961337491639105e-06,1.6197112793771404e-05,3.400002740742784e-06,0.0007788460000002217
6.282173077,7.28713048458068e-06,1.0134902637081715e-05,6.74160135295947e-06,1.9055395227555532e-06,1.6279901406018293e-05,3.410901444670956e-06,0.0012980770000003972
6.282692308,7.252615965348105e-06,1.0156777256152e-05,6.769603948910114e-06,1.911391942504592e-06,1.6382377132180594e-05,3.4250979214671632e-06,0.0018173079999996844
6.283211538,7.2042007451259005e-06,1.0171611061340945e-05,6.808853318165089e-06,1.9118468701621048e-06,1.6476184743703835e-05,3.4380542266582877e-06,0.002336537999999777
6.283730769,7.158641618923004e-06,1.0176013586074205e-05,6.859520285843062e-06,1.9066520934842744e-06,1.654360176551776e-05,3.4482116740167823e-06,0.0028557689999999525
6.28425,7.115082967414822e-06,1.0171902647747285e-05,6.904985404622597e-06,1.9001451700466344e-06,1.6586528350197425e-05,3.458238833693833e-06,0.003375000000000128
6.284769231,7.057791566027879e-06,1.0165230001369845e-05,6.930302237449464e-06,1.8963294402987185e-06,1.6615251579788102e-05,3.469631845091053e-06,0.0038942310000003033
6.285288462,6.972970038217469e-06,1.0160867384784187e-05,6.94078025137763e-06,1.8958517761840235e-06,1.663602330476629e-05,3.482916379323941e-06,0.0044134619999995905
6.285807692,6.869977960131072e-06,1.0159069587449696e-05,6.950013112493976e-06,1.8972736639729936e-06,1.665046813718833e-05,3.4964914108866875e-06,0.004932691999999683
6.286326923,6.778629930143044e-06,1.0157805899453844e-05,6.96442089217687e-06,1.896842049443508e-06,1.666361683276571e-05,3.5090421186481736e-06,0.005451922999999859
6.286846154,6.709935484195984e-06,1.0156009794730262e-05,6.977177518048623e-06,1.8909555799928748e-06,1.668448819740044e-05,3.5222703225219543e-06,0.005971154000000034
6.287365385,6.645525726093602e-06,1.0152723854675715e-05,6.978422091229085e-06,1.8841489194302696e-06,1.669977406014717e-05,3.537601223614376e-06,0.0064903850000002095
