Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Trimmed Time
5.35275,3.5588441561698405e-06,3.696824632817387e-06,2.94549133359833e-06,2.883715998368045e-06,4.751670841402681e-05,2.152924328481713e-06,0.0
5.353269231,3.558813004082372e-06,3.696733513449524e-06,2.953230727807617e-06,2.859584225130971e-06,4.74770420443771e-05,2.138073743400828e-06,0.0005192309999992872
5.353788462,3.5618539554710563e-06,3.6962478637400895e-06,2.9561715448559898e-06,2.841788324446282e-06,4.745057715384095e-05,2.1341220085541097e-06,0.0010384619999994626
5.354307692,3.5686441583975637e-06,3.693632921012796e-06,2.955695253587057e-06,2.831860433455764e-06,4.742809934187909e-05,2.1358365159879512e-06,0.0015576919999995553
5.354826923,3.5739351417341943e-06,3.690978131102524e-06,2.9525280164836584e-06,2.819618749332824e-06,4.741706477580979e-05,2.135720485285886e-06,0.0020769229999997307
5.355346154,3.57384076789956e-06,3.69098427897584e-06,2.9499067933279605e-06,2.8179887312541245e-06,4.743125561510139e-05,2.131034695598221e-06,0.002596153999999906
5.355865385,3.568225663065307e-06,3.691350716947187e-06,2.949531496177304e-06,2.8429445139258997e-06,4.749077416928238e-05,2.1260295874070763e-06,0.0031153850000000816
5.356384615,3.557953709603941e-06,3.688507659449282e-06,2.950254321580129e-06,2.87853658225323e-06,4.761835506052493e-05,2.124415438105357e-06,0.003634614999999286
5.356903846,3.54913127213699e-06,3.6834646974847914e-06,2.948463674855037e-06,2.901837370883385e-06,4.7792848817401165e-05,2.1243369766765125e-06,0.0041538459999994615
5.357423077,3.546497059793419e-06,3.68171757943974e-06,2.942479639402625e-06,2.9110004561071125e-06,4.79372905182575e-05,2.126186928360063e-06,0.004673076999999637
5.357942308,3.54633986000841e-06,3.689817788399945e-06,2.9383735030590664e-06,2.9135007578076013e-06,4.80028662174427e-05,2.1280819334435857e-06,0.005192307999999812
5.358461538,3.5489032372768885e-06,3.708938510647576e-06,2.938381182364409e-06,2.9149177298486403e-06,4.801330848105941e-05,2.1257948732516785e-06,0.005711537999999905
5.358980769,3.5547020811573244e-06,3.728810710986983e-06,2.938393994437671e-06,2.9176976454291355e-06,4.800392533274845e-05,2.1262630077673437e-06,0.00623076900000008
