Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Trimmed Time
6.132634615,7.555942441120808e-06,6.822013384179743e-06,2.979012845687718e-06,3.228149773269342e-06,4.4686520725903456e-05,2.4694382659565355e-05,0.00025961500000004634
6.133153846,7.556695050045404e-06,6.821340481937221e-06,2.9876574699922885e-06,3.227653545352279e-06,4.455738090266162e-05,2.4656395036098098e-05,0.0007788460000002217
6.133673077,7.572072135532427e-06,6.821474056026393e-06,2.9917911920214195e-06,3.2357870301568355e-06,4.428325548401897e-05,2.462886158562918e-05,0.0012980770000003972
6.134192308,7.611842513232739e-06,6.821626770351821e-06,2.9916544981833246e-06,3.249797145286764e-06,4.384739514911152e-05,2.4629284579056823e-05,0.0018173080000005726
6.134711538,7.656969895117708e-06,6.821676156968441e-06,2.992400743115952e-06,3.252119656671755e-06,4.335111086162073e-05,2.464392826860222e-05,0.0023365380000006652
6.135230769,7.683840251934414e-06,6.822483626731834e-06,2.9888201482531077e-06,3.2427508214151134e-06,4.290930629730186e-05,2.4655391564704584e-05,0.0028557689999999525
6.13575,7.693291053711679e-06,6.823872951937398e-06,2.976602894276204e-06,3.2371294464111165e-06,4.257259935912295e-05,2.465613058061514e-05,0.003375000000000128
6.136269231,7.695887005586462e-06,6.827577904306675e-06,2.954142143881422e-06,3.235161625761828e-06,4.239138228372372e-05,2.4659344067893065e-05,0.0038942310000003033
6.136788462,7.696134422844167e-06,6.839431007457222e-06,2.9305957505538037e-06,3.244793954358641e-06,4.239415963002134e-05,2.4679422618403383e-05,0.004413462000000479
6.137307692,7.69540735003775e-06,6.858667223369362e-06,2.9237049355036368e-06,3.2612836460532565e-06,4.234269954743695e-05,2.4700956876804003e-05,0.004932692000000571
6.137826923,7.69508225431232e-06,6.877178168115836e-06,2.9305896128410384e-06,3.2625785888399485e-06,4.182317903896489e-05,2.4706953245432557e-05,0.005451923000000747
6.138346154,7.695001820183915e-06,6.889463703506175e-06,2.9349480260706984e-06,3.269154836632995e-06,4.096722435864699e-05,2.470578026111747e-05,0.005971154000000034
6.138865385,7.69388751325445e-06,6.892004231610052e-06,2.927990552746384e-06,3.2967689265588724e-06,4.04362675146923e-05,2.4707020396073782e-05,0.0064903850000002095
6.139384615,7.693850213262102e-06,6.889081839506287e-06,2.9149514572443e-06,3.3196475621608205e-06,4.036775987755085e-05,2.4710067457159564e-05,0.007009615000000302
6.139903846,7.695903617591688e-06,6.888684849878928e-06,2.909206467923857e-06,3.324512632120037e-06,4.033632994767439e-05,2.4714076555535875e-05,0.0075288460000004775
6.140423077,7.692861897907234e-06,6.887159808524222e-06,2.909029000862022e-06,3.31516171719718e-06,4.0185661641594766e-05,2.4718213112381505e-05,0.008048077000000653
6.140942308,7.681134042537412e-06,6.880427128424701e-06,2.8996557917624285e-06,3.3026495658904557e-06,4.004240423295064e-05,2.471882918723425e-05,0.00856730799999994
6.141461538,7.669763830945228e-06,6.874595149678226e-06,2.875664973328108e-06,3.2984940075815197e-06,3.996361531011493e-05,2.4719322107754008e-05,0.009086538000000033
6.141980769,7.66522788767214e-06,6.873963760290911e-06,2.846361021233986e-06,3.2988062013424614e-06,3.992351393876245e-05,2.4729532078560668e-05,0.009605769000000208
6.1425,7.664717901249103e-06,6.877213174036418e-06,2.826321720724903e-06,3.299057657506778e-06,3.989686323612254e-05,2.47423523729001e-05,0.010125000000000384
6.143019231,7.664975620274867e-06,6.883893842213801e-06,2.822085091151745e-06,3.3001829228196758e-06,3.9872424135991296e-05,2.4747268419839617e-05,0.010644231000000559
6.143538462,7.663928596219263e-06,6.895607397046265e-06,2.8246721474035084e-06,3.297460573265489e-06,3.984708821434206e-05,2.474822231840634e-05,0.011163462000000735
6.144057692,7.657588635468594e-06,6.916132427936555e-06,2.824642757188031e-06,3.294066900780553e-06,3.982657408447504e-05,2.4746599147674955e-05,0.011682691999999939
6.144576923,7.638369837034513e-06,6.948109938523323e-06,2.8230781565255154e-06,3.293958391646587e-06,3.981958774554973e-05,2.47444549853964e-05,0.012201923000000114
6.145096154,7.606311512320813e-06,6.985969031852205e-06,2.82291018784888e-06,3.284034309398684e-06,3.982484760823478e-05,2.474725236033528e-05,0.01272115400000029
6.145615385,7.581095146117018e-06,7.018692424105886e-06,2.832677018737819e-06,3.266314649186087e-06,3.983128323360291e-05,2.475130021915581e-05,0.013240385000000465
6.146134615,7.577942213229622e-06,7.038326991399618e-06,2.8514054600584697e-06,3.258433310165384e-06,3.9822566259506366e-05,2.474740750492774e-05,0.013759615000000558
6.146653846,7.580387383857425e-06,7.045116742765396e-06,2.8601569907728547e-06,3.2584503494762955e-06,3.977529395470605e-05,2.473992531966058e-05,0.014278846000000733
6.147173077,7.566302204374714e-06,7.046187307877079e-06,2.851457636747665e-06,3.260827649315542e-06,3.967450276491863e-05,2.4740866106478407e-05,0.01479807700000002
6.147692308,7.541102988108578e-06,7.045682263489536e-06,2.8379375809380152e-06,3.262853503124435e-06,3.9550151065600085e-05,2.474474056855292e-05,0.015317308000000196
6.148211538,7.522409949060391e-06,7.04316448790698e-06,2.8362077705691342e-06,3.2543626539738766e-06,3.946452180463575e-05,2.474398486848662e-05,0.01583653800000029
