Time_Vastus Medialis: Acc 2.X [g],Vastus Medialis: Acc 2.X [g],Time_Vastus Medialis: Acc 2.Y [g],Vastus Medialis: Acc 2.Y [g],Time_Vastus Medialis: Acc 2.Z [g],Vastus Medialis: Acc 2.Z [g],Time_Vastus Lateralis: Acc 3.X [g],Vastus Lateralis: Acc 3.X [g],Time_Vastus Lateralis: Acc 3.Y [g],Vastus Lateralis: Acc 3.Y [g],Time_Vastus Lateralis: Acc 3.Z [g],Vastus Lateralis: Acc 3.Z [g],Time_Bicep Femoris: Acc 4.X [g],Bicep Femoris: Acc 4.X [g],Time_Bicep Femoris: Acc 4.Y [g],Bicep Femoris: Acc 4.Y [g],Time_Bicep Femoris: Acc 4.Z [g],Bicep Femoris: Acc 4.Z [g],Time_Tibialis: Acc 5.X [g],Tibialis: Acc 5.X [g],Time_Tibialis: Acc 5.Y [g],Tibialis: Acc 5.Y [g],Time_Tibialis: Acc 5.Z [g],Tibialis: Acc 5.Z [g],Time_Gastrocnemius medialis: Acc 6.X [g],Gastrocnemius medialis: Acc 6.X [g],Time_Gastrocnemius medialis: Acc 6.Y [g],Gastrocnemius medialis: Acc 6.Y [g],Time_Gastrocnemius medialis: Acc 6.Z [g],Gastrocnemius medialis: Acc 6.Z [g],Trimmed_Time_Vastus Medialis: Acc 2.X [g],Trimmed_Time_Vastus Medialis: Acc 2.Y [g],Trimmed_Time_Vastus Medialis: Acc 2.Z [g],Trimmed_Time_Vastus Lateralis: Acc 3.X [g],Trimmed_Time_Vastus Lateralis: Acc 3.Y [g],Trimmed_Time_Vastus Lateralis: Acc 3.Z [g],Trimmed_Time_Bicep Femoris: Acc 4.X [g],Trimmed_Time_Bicep Femoris: Acc 4.Y [g],Trimmed_Time_Bicep Femoris: Acc 4.Z [g],Trimmed_Time_Tibialis: Acc 5.X [g],Trimmed_Time_Tibialis: Acc 5.Y [g],Trimmed_Time_Tibialis: Acc 5.Z [g],Trimmed_Time_Gastrocnemius medialis: Acc 6.X [g],Trimmed_Time_Gastrocnemius medialis: Acc 6.Y [g],Trimmed_Time_Gastrocnemius medialis: Acc 6.Z [g]
5.67675,-1.156473279,5.67675,0.848080397,5.67675,-0.269843757,5.67675,-0.925178587,5.67675,0.65533483,5.67675,0.0,5.67675,-0.346941978,5.67675,0.231294647,5.67675,-1.195022345,5.67675,-1.117924094,5.67675,0.963727713,5.67675,-0.732433081,5.67675,-0.501138389,5.67675,0.077098213,5.67675,-0.115647323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6835,-1.079375029,5.6835,0.65533483,5.6835,-0.385491073,5.6835,-0.925178587,5.6835,0.539687514,5.6835,-0.115647323,5.6835,-0.385491073,5.6835,0.231294647,5.6835,-0.963727713,5.6835,-0.732433081,5.6835,0.963727713,5.6835,-0.693883955,5.6835,-0.346941978,5.6835,0.192745537,5.6835,-0.038549107,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256,0.006750000000000256
5.69025,-1.040825963,5.69025,0.385491073,5.69025,-0.346941978,5.69025,-0.848080397,5.69025,0.424040198,5.69025,-0.192745537,5.69025,-0.424040198,5.69025,0.269843757,5.69025,-0.848080397,5.69025,-0.462589294,5.69025,0.925178587,5.69025,-0.65533483,5.69025,-0.346941978,5.69025,0.192745537,5.69025,0.077098213,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623,0.013499999999999623
5.697,-1.002276778,5.697,0.115647323,5.697,-0.308392853,5.697,-0.770982146,5.697,0.385491073,5.697,-0.308392853,5.697,-0.501138389,5.697,0.308392853,5.697,-0.886629462,5.697,-0.346941978,5.697,0.925178587,5.697,-0.578236639,5.697,-0.308392853,5.697,0.269843757,5.697,0.115647323,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988,0.02024999999999988
5.70375,-0.925178587,5.70375,-0.038549107,5.70375,-0.308392853,5.70375,-0.65533483,5.70375,0.385491073,5.70375,-0.346941978,5.70375,-0.539687514,5.70375,0.308392853,5.70375,-1.002276778,5.70375,-0.308392853,5.70375,1.040825963,5.70375,-0.501138389,5.70375,-0.154196426,5.70375,0.385491073,5.70375,-0.038549107,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135,0.027000000000000135
5.7105,-0.809531271,5.7105,-0.154196426,5.7105,-0.501138389,5.7105,-0.578236639,5.7105,0.462589294,5.7105,-0.346941978,5.7105,-0.501138389,5.7105,0.231294647,5.7105,-1.079375029,5.7105,-0.308392853,5.7105,1.117924094,5.7105,-0.539687514,5.7105,0.077098213,5.7105,0.424040198,5.7105,0.0,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995,0.0337499999999995
5.71725,-0.616785705,5.71725,-0.192745537,5.71725,-0.732433081,5.71725,-0.539687514,5.71725,0.65533483,5.71725,-0.231294647,5.71725,-0.346941978,5.71725,0.192745537,5.71725,-1.079375029,5.71725,-0.346941978,5.71725,1.117924094,5.71725,-0.578236639,5.71725,0.231294647,5.71725,0.346941978,5.71725,0.077098213,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976,0.04049999999999976
5.724,-0.462589294,5.724,-0.231294647,5.724,-0.809531271,5.724,-0.501138389,5.724,0.809531271,5.724,-0.269843757,5.724,-0.269843757,5.724,0.192745537,5.724,-0.963727713,5.724,-0.346941978,5.724,1.079375029,5.724,-0.462589294,5.724,0.385491073,5.724,0.269843757,5.724,0.038549107,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014,0.047250000000000014
5.73075,-0.269843757,5.73075,-0.231294647,5.73075,-0.770982146,5.73075,-0.424040198,5.73075,0.848080397,5.73075,-0.385491073,5.73075,-0.269843757,5.73075,0.231294647,5.73075,-0.693883955,5.73075,-0.192745537,5.73075,1.156473279,5.73075,-0.385491073,5.73075,0.578236639,5.73075,0.192745537,5.73075,-0.154196426,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938,0.05399999999999938
5.7375,-0.192745537,5.7375,-0.269843757,5.7375,-0.732433081,5.7375,-0.385491073,5.7375,0.770982146,5.7375,-0.501138389,5.7375,-0.385491073,5.7375,0.269843757,5.7375,-0.539687514,5.7375,-0.038549107,5.7375,1.117924094,5.7375,-0.346941978,5.7375,0.732433081,5.7375,0.115647323,5.7375,-0.308392853,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964,0.06074999999999964
