Time_Vastus Medialis: Acc 2.X [g],Vastus Medialis: Acc 2.X [g],Time_Vastus Medialis: Acc 2.Y [g],Vastus Medialis: Acc 2.Y [g],Time_Vastus Medialis: Acc 2.Z [g],Vastus Medialis: Acc 2.Z [g],Time_Vastus Lateralis: Acc 3.X [g],Vastus Lateralis: Acc 3.X [g],Time_Vastus Lateralis: Acc 3.Y [g],Vastus Lateralis: Acc 3.Y [g],Time_Vastus Lateralis: Acc 3.Z [g],Vastus Lateralis: Acc 3.Z [g],Time_Bicep Femoris: Acc 4.X [g],Bicep Femoris: Acc 4.X [g],Time_Bicep Femoris: Acc 4.Y [g],Bicep Femoris: Acc 4.Y [g],Time_Bicep Femoris: Acc 4.Z [g],Bicep Femoris: Acc 4.Z [g],Time_Tibialis: Acc 5.X [g],Tibialis: Acc 5.X [g],Time_Tibialis: Acc 5.Y [g],Tibialis: Acc 5.Y [g],Time_Tibialis: Acc 5.Z [g],Tibialis: Acc 5.Z [g],Time_Gastrocnemius medialis: Acc 6.X [g],Gastrocnemius medialis: Acc 6.X [g],Time_Gastrocnemius medialis: Acc 6.Y [g],Gastrocnemius medialis: Acc 6.Y [g],Time_Gastrocnemius medialis: Acc 6.Z [g],Gastrocnemius medialis: Acc 6.Z [g],Trimmed_Time_Vastus Medialis: Acc 2.X [g],Trimmed_Time_Vastus Medialis: Acc 2.Y [g],Trimmed_Time_Vastus Medialis: Acc 2.Z [g],Trimmed_Time_Vastus Lateralis: Acc 3.X [g],Trimmed_Time_Vastus Lateralis: Acc 3.Y [g],Trimmed_Time_Vastus Lateralis: Acc 3.Z [g],Trimmed_Time_Bicep Femoris: Acc 4.X [g],Trimmed_Time_Bicep Femoris: Acc 4.Y [g],Trimmed_Time_Bicep Femoris: Acc 4.Z [g],Trimmed_Time_Tibialis: Acc 5.X [g],Trimmed_Time_Tibialis: Acc 5.Y [g],Trimmed_Time_Tibialis: Acc 5.Z [g],Trimmed_Time_Gastrocnemius medialis: Acc 6.X [g],Trimmed_Time_Gastrocnemius medialis: Acc 6.Y [g],Trimmed_Time_Gastrocnemius medialis: Acc 6.Z [g]
5.39325,-0.65533483,5.39325,-0.038549107,5.39325,0.192745537,5.39325,-0.848080397,5.39325,0.539687514,5.39325,-0.385491073,5.39325,-0.269843757,5.39325,0.192745537,5.39325,-1.117924094,5.39325,-0.192745537,5.39325,0.770982146,5.39325,-1.503415227,5.39325,0.0,5.39325,-0.809531271,5.39325,0.154196426,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128,0.003375000000000128
5.4,-0.732433081,5.4,0.115647323,5.4,0.154196426,5.4,-0.809531271,5.4,0.539687514,5.4,-0.424040198,5.4,-0.308392853,5.4,0.154196426,5.4,-1.117924094,5.4,-0.077098213,5.4,0.732433081,5.4,-1.426316977,5.4,0.154196426,5.4,-0.770982146,5.4,0.115647323,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384,0.010125000000000384
5.40675,-0.732433081,5.40675,0.231294647,5.40675,0.154196426,5.40675,-0.770982146,5.40675,0.578236639,5.40675,-0.385491073,5.40675,-0.269843757,5.40675,0.192745537,5.40675,-1.079375029,5.40675,0.0,5.40675,0.693883955,5.40675,-1.310669661,5.40675,0.308392853,5.40675,-0.732433081,5.40675,0.077098213,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975,0.01687499999999975
5.4135,-0.770982146,5.4135,0.269843757,5.4135,0.115647323,5.4135,-0.693883955,5.4135,0.578236639,5.4135,-0.385491073,5.4135,-0.308392853,5.4135,0.192745537,5.4135,-1.079375029,5.4135,0.077098213,5.4135,0.65533483,5.4135,-1.23357141,5.4135,0.462589294,5.4135,-0.693883955,5.4135,0.038549107,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007,0.023625000000000007
5.42025,-0.732433081,5.42025,0.308392853,5.42025,0.115647323,5.42025,-0.65533483,5.42025,0.65533483,5.42025,-0.346941978,5.42025,-0.269843757,5.42025,0.231294647,5.42025,-1.002276778,5.42025,0.115647323,5.42025,0.616785705,5.42025,-1.117924094,5.42025,0.578236639,5.42025,-0.65533483,5.42025,0.0,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263,0.030375000000000263
5.427,-0.65533483,5.427,0.231294647,5.427,0.077098213,5.427,-0.616785705,5.427,0.693883955,5.427,-0.346941978,5.427,-0.269843757,5.427,0.269843757,5.427,-1.002276778,5.427,0.154196426,5.427,0.616785705,5.427,-1.002276778,5.427,0.616785705,5.427,-0.616785705,5.427,-0.038549107,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963,0.03712499999999963
5.43375,-0.616785705,5.43375,0.154196426,5.43375,0.077098213,5.43375,-0.539687514,5.43375,0.732433081,5.43375,-0.269843757,5.43375,-0.231294647,5.43375,0.346941978,5.43375,-0.963727713,5.43375,0.192745537,5.43375,0.616785705,5.43375,-0.963727713,5.43375,0.65533483,5.43375,-0.578236639,5.43375,-0.038549107,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886,0.043874999999999886
5.4405,-0.539687514,5.4405,0.077098213,5.4405,0.038549107,5.4405,-0.501138389,5.4405,0.770982146,5.4405,-0.269843757,5.4405,-0.192745537,5.4405,0.385491073,5.4405,-0.925178587,5.4405,0.192745537,5.4405,0.65533483,5.4405,-0.925178587,5.4405,0.616785705,5.4405,-0.539687514,5.4405,-0.077098213,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014,0.05062500000000014
5.44725,-0.501138389,5.44725,0.0,5.44725,0.038549107,5.44725,-0.424040198,5.44725,0.809531271,5.44725,-0.269843757,5.44725,-0.115647323,5.44725,0.462589294,5.44725,-0.848080397,5.44725,0.231294647,5.44725,0.65533483,5.44725,-0.848080397,5.44725,0.616785705,5.44725,-0.462589294,5.44725,-0.115647323,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004,0.0573750000000004
5.454,-0.462589294,5.454,0.0,5.454,0.038549107,5.454,-0.385491073,5.454,0.770982146,5.454,-0.308392853,5.454,-0.077098213,5.454,0.501138389,5.454,-0.848080397,5.454,0.231294647,5.454,0.693883955,5.454,-0.809531271,5.454,0.578236639,5.454,-0.385491073,5.454,-0.154196426,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977,0.06412499999999977
5.46075,-0.462589294,5.46075,0.0,5.46075,0.038549107,5.46075,-0.346941978,5.46075,0.732433081,5.46075,-0.308392853,5.46075,-0.038549107,5.46075,0.539687514,5.46075,-0.848080397,5.46075,0.231294647,5.46075,0.732433081,5.46075,-0.770982146,5.46075,0.578236639,5.46075,-0.346941978,5.46075,-0.154196426,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002,0.07087500000000002
5.4675,-0.424040198,5.4675,0.0,5.4675,0.0,5.4675,-0.308392853,5.4675,0.65533483,5.4675,-0.346941978,5.4675,-0.038549107,5.4675,0.578236639,5.4675,-0.848080397,5.4675,0.231294647,5.4675,0.770982146,5.4675,-0.732433081,5.4675,0.539687514,5.4675,-0.269843757,5.4675,-0.154196426,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028,0.07762500000000028
5.47425,-0.424040198,5.47425,0.038549107,5.47425,0.0,5.47425,-0.308392853,5.47425,0.616785705,5.47425,-0.346941978,5.47425,-0.038549107,5.47425,0.578236639,5.47425,-0.848080397,5.47425,0.269843757,5.47425,0.770982146,5.47425,-0.732433081,5.47425,0.539687514,5.47425,-0.192745537,5.47425,-0.154196426,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964,0.08437499999999964
5.481,-0.385491073,5.481,0.077098213,5.481,0.0,5.481,-0.308392853,5.481,0.539687514,5.481,-0.346941978,5.481,0.0,5.481,0.578236639,5.481,-0.886629462,5.481,0.269843757,5.481,0.770982146,5.481,-0.693883955,5.481,0.539687514,5.481,-0.115647323,5.481,-0.115647323,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999,0.0911249999999999
5.48775,-0.385491073,5.48775,0.115647323,5.48775,0.0,5.48775,-0.308392853,5.48775,0.462589294,5.48775,-0.346941978,5.48775,0.038549107,5.48775,0.539687514,5.48775,-0.925178587,5.48775,0.308392853,5.48775,0.809531271,5.48775,-0.693883955,5.48775,0.578236639,5.48775,-0.038549107,5.48775,-0.115647323,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016,0.09787500000000016
5.4945,-0.385491073,5.4945,0.154196426,5.4945,0.0,5.4945,-0.346941978,5.4945,0.424040198,5.4945,-0.346941978,5.4945,0.038549107,5.4945,0.501138389,5.4945,-0.963727713,5.4945,0.346941978,5.4945,0.809531271,5.4945,-0.693883955,5.4945,0.616785705,5.4945,0.038549107,5.4945,-0.115647323,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041,0.10462500000000041
5.50125,-0.385491073,5.50125,0.192745537,5.50125,0.077098213,5.50125,-0.346941978,5.50125,0.385491073,5.50125,-0.308392853,5.50125,0.077098213,5.50125,0.462589294,5.50125,-1.002276778,5.50125,0.346941978,5.50125,0.848080397,5.50125,-0.65533483,5.50125,0.616785705,5.50125,0.077098213,5.50125,-0.077098213,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978,0.11137499999999978
5.508,-0.385491073,5.508,0.231294647,5.508,0.077098213,5.508,-0.385491073,5.508,0.385491073,5.508,-0.308392853,5.508,0.077098213,5.508,0.424040198,5.508,-1.040825963,5.508,0.346941978,5.508,0.848080397,5.508,-0.65533483,5.508,0.65533483,5.508,0.115647323,5.508,-0.077098213,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004,0.11812500000000004
5.51475,-0.346941978,5.51475,0.231294647,5.51475,0.115647323,5.51475,-0.385491073,5.51475,0.424040198,5.51475,-0.269843757,5.51475,0.115647323,5.51475,0.424040198,5.51475,-1.079375029,5.51475,0.346941978,5.51475,0.848080397,5.51475,-0.65533483,5.51475,0.693883955,5.51475,0.154196426,5.51475,-0.077098213,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029,0.12487500000000029
5.5215,-0.346941978,5.5215,0.269843757,5.5215,0.154196426,5.5215,-0.385491073,5.5215,0.424040198,5.5215,-0.231294647,5.5215,0.115647323,5.5215,0.385491073,5.5215,-1.117924094,5.5215,0.385491073,5.5215,0.886629462,5.5215,-0.616785705,5.5215,0.693883955,5.5215,0.192745537,5.5215,-0.077098213,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966,0.13162499999999966
